epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
120,0.24204,0.21341,0.0,0.0,1.3,31,68,102,135,164
121,0.24204,0.21341,0.0,0.0,1.31,31,68,102,135,164
122,0.24204,0.21341,0.0,0.0,1.32,31,68,102,135,164
123,0.24204,0.21341,0.0,0.0,1.33,31,68,102,135,164
124,0.24204,0.21341,0.0,0.0,1.34,31,68,102,135,164
125,0.24204,0.21341,0.0,0.0,1.35,31,68,102,135,164
126,0.24204,0.21341,0.0,0.0,1.36,31,68,102,135,164
127,0.24204,0.21341,0.0,0.0,1.37,31,68,102,135,164
128,0.24204,0.21341,0.0,0.0,1.38,31,68,102,135,164
129,0.24204,0.21341,0.0,0.0,1.39,31,68,102,135,164
130,0.24204,0.21341,0.0,0.0,1.4,31,68,102,135,164
131,0.24204,0.21341,0.0,0.0,1.41,31,68,102,135,164
132,0.24204,0.21341,0.0,0.0,1.42,31,68,102,135,164
133,0.24204,0.21341,0.0,0.0,1.43,30,68,102,135,164
134,0.24204,0.21341,0.0,0.0,1.44,30,68,102,135,164
135,0.24204,0.21341,0.0,0.0,1.45,30,68,102,135,164
136,0.24204,0.21341,0.0,0.0,1.46,30,68,102,135,164
137,0.24204,0.21341,0.0,0.0,1.47,30,68,102,135,164
138,0.24204,0.21341,0.0,0.0,1.48,30,68,102,135,164
139,0.24204,0.21341,0.0,0.0,1.5,31,68,102,135,164
140,0.24204,0.21341,0.0,0.0,1.51,31,69,102,135,164
141,0.24204,0.21341,0.0,0.0,1.52,31,69,102,136,164
142,0.24204,0.21341,0.0,0.0,1.53,31,69,102,136,164
143,0.24204,0.21341,0.0,0.0,1.54,31,69,102,136,164
144,0.24204,0.21341,0.0,0.0,1.55,31,69,102,136,164
145,0.24204,0.21341,0.0,0.0,1.56,31,69,102,136,164
146,0.24204,0.21341,0.0,0.0,1.57,31,69,102,136,164
147,0.24204,0.21341,0.0,0.0,1.58,31,69,102,136,164
148,0.24204,0.21341,0.0,0.0,1.59,31,69,102,136,164
149,0.24204,0.21341,0.0,0.0,1.6,31,69,102,136,164
150,0.24204,0.21341,0.0,0.0,1.61,31,69,102,136,164
151,0.24204,0.21341,0.0,0.0,1.62,31,69,102,136,164
152,0.24204,0.21341,0.0,0.0,1.63,31,69,102,136,164
153,0.24204,0.21341,0.0,0.0,1.64,31,69,102,136,164
154,0.24204,0.21341,0.0,0.0,1.65,31,69,102,136,164
155,0.24204,0.21341,0.0,0.0,1.66,31,69,102,136,164
156,0.24204,0.21341,0.0,0.0,1.67,31,69,102,136,164
157,0.24204,0.21341,0.0,0.0,1.68,31,69,102,136,164
158,0.24204,0.21341,0.0,0.0,1.69,31,69,102,136,164
159,0.24204,0.21341,2e-05,0.0,1.7,31,69,102,136,164
160,0.24204,0.21341,2e-05,0.0,1.71,31,69,102,136,164
161,0.24204,0.21341,2e-05,0.0,1.72,31,69,102,136,164
162,0.24204,0.21341,2e-05,0.0,1.73,31,69,102,136,164
163,0.24204,0.21341,5e-05,0.0,1.74,31,69,102,136,164
164,0.24204,0.21341,5e-05,0.0,1.75,31,69,102,136,164
165,0.24204,0.21341,5e-05,0.0,1.76,31,69,102,136,164
166,0.24204,0.21341,0.00011,0.0,1.77,31,69,102,136,164
167,0.24204,0.21341,0.00023,0.00023,1.79,31,69,102,136,164
168,0.24204,0.21341,0.00062,0.00023,1.8,31,69,102,136,164
169,0.24204,0.21341,0.00125,0.0007,1.81,31,69,102,136,164
170,0.24204,0.21341,0.00247,0.00139,1.82,31,69,102,136,164
171,0.24204,0.21341,0.00369,0.00255,1.83,31,69,102,137,164
172,0.24204,0.21341,0.00538,0.00348,1.84,31,69,102,137,164
173,0.24204,0.21341,0.0078,0.00555,1.85,31,69,102,137,164
174,0.24204,0.21341,0.01068,0.00647,1.86,31,69,102,137,164
175,0.24204,0.21341,0.01361,0.00807,1.87,31,69,102,137,164
176,0.24204,0.21341,0.01689,0.01036,1.88,31,69,102,137,164
177,0.24204,0.21341,0.02037,0.01331,1.89,31,68,102,137,164
178,0.24204,0.21341,0.02327,0.01602,1.9,31,68,102,137,164
179,0.24204,0.21341,0.02532,0.01849,1.91,31,68,103,137,164
