epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
33,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.29,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
34,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.3,13,26,38,50,62,74,86,101,111,125,138,147,160,174,185
35,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.3,13,26,38,50,62,74,86,101,110,125,138,147,160,174,185
36,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.31,13,26,38,50,62,74,86,101,110,125,138,147,160,174,185
37,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.32,13,26,38,50,62,74,86,101,110,125,138,147,160,174,185
38,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.33,13,26,38,50,62,74,86,101,110,125,138,147,160,174,185
39,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.33,13,26,38,50,62,74,86,101,110,125,138,147,160,174,185
40,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.34,13,26,38,50,62,74,86,101,110,125,138,147,160,174,185
41,0.2408143597156969,0.24160346695557963,3.790508189005504e-05,0.0,0.35,13,26,38,50,62,74,85,101,110,125,138,147,160,174,185
42,0.2408143597156969,0.24160346695557963,0.0,0.0,0.36,13,26,38,50,62,74,85,101,110,125,138,147,160,174,185
43,0.2408143597156969,0.24160346695557963,0.0,0.0,0.36,13,26,38,50,62,74,85,102,110,125,138,147,160,174,185
