epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
47,0.3101851851851852,0.3092948717948718,0.131308840050252,0.1348137853827075,0.37,7,13,19,26,32,37,43,48,55,61,69,73,81,88,91,98,105,112,117,123
48,0.3222934472934473,0.32532051282051283,0.13405743098943446,0.14412216028487557,0.38,7,13,20,26,32,37,43,48,55,61,69,73,81,88,91,98,105,112,117,123
49,0.3271011396011396,0.3333333333333333,0.1268784955373754,0.14109308927756048,0.38,7,13,20,26,32,37,43,48,55,61,69,73,81,88,91,98,105,112,117,123
50,0.3297720797720798,0.3333333333333333,0.11369508220531033,0.12443503015421142,0.39,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
51,0.3173076923076923,0.32211538461538464,0.07149504184876632,0.08434888488796843,0.4,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
52,0.30502136752136755,0.30288461538461536,0.031054015994522732,0.0333057921878116,0.4,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
53,0.29896723646723644,0.29967948717948717,0.008112056614013818,0.013508331464210488,0.41,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
54,0.2984330484330484,0.2980769230769231,0.0019070500950908453,0.004465684167583528,0.42,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
55,0.29896723646723644,0.2948717948717949,6.530498240842064e-05,-0.0023401078420992594,0.42,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
56,0.29967948717948717,0.2948717948717949,0.0005872210598159011,-0.0027610991804356555,0.43,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
57,0.29950142450142453,0.2932692307692308,0.00025530583167931997,-0.005201636469900794,0.44,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
58,0.2986111111111111,0.2932692307692308,-0.0011127384934204176,-0.005201636469900794,0.44,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
59,0.2984330484330484,0.2932692307692308,-0.001386379305304164,-0.005201636469900794,0.45,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
60,0.2980769230769231,0.2932692307692308,-0.0019726915331588213,-0.005201636469900794,0.46,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
61,0.29825498575498577,0.2916666666666667,-0.0018159979460936615,-0.007642958394832533,0.46,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
62,0.29825498575498577,0.2900641025641026,-0.002050039805543191,-0.010409965495058238,0.47,7,13,20,26,32,37,43,48,55,61,70,73,81,88,91,97,105,112,117,123
63,0.2984330484330484,0.28846153846153844,-0.0021859907451391436,-0.012853695985961755,0.48,7,13,20,26,32,37,43,48,55,61,70,73,82,88,91,97,105,112,117,123
64,0.29772079772079774,0.2900641025641026,-0.0036530162872743244,-0.01122313106334416,0.49,7,13,20,26,32,37,43,48,55,61,70,73,82,88,91,97,105,112,117,123
65,0.2968304843304843,0.2900641025641026,-0.005513151849117159,-0.011711658956491178,0.5,7,13,20,26,32,37,43,48,55,61,70,73,82,88,91,97,105,112,117,123
66,0.29576210826210825,0.28846153846153844,-0.007905498853613357,-0.01448553643354078,0.5,7,13,20,26,32,37,43,48,55,61,70,73,82,89,91,97,105,112,117,123
67,0.2948717948717949,0.28365384615384615,-0.010421819633060991,-0.0224933282500952,0.51,7,13,20,26,32,37,43,48,55,61,70,73,82,89,91,97,105,112,117,123
68,0.29415954415954415,0.28044871794871795,-0.012570031492623368,-0.02789721614839391,0.52,7,13,20,26,32,37,43,48,55,61,70,73,82,89,91,97,106,112,117,123
69,0.29255698005698005,0.28044871794871795,-0.01614094505925112,-0.02889375266242622,0.52,7,13,20,26,32,37,43,48,55,61,70,73,82,89,91,97,106,112,117,123
70,0.29024216524216523,0.2724358974358974,-0.021325893710161692,-0.042372507174920804,0.53,7,13,20,27,32,37,43,48,55,61,70,73,82,89,91,97,106,112,117,123
71,0.2879273504273504,0.27403846153846156,-0.02632807772284651,-0.04091913389306234,0.54,7,13,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
72,0.2866809116809117,0.27724358974358976,-0.029763675700892334,-0.03783688100190297,0.54,7,13,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
73,0.28703703703703703,0.28044871794871795,-0.031136979543592513,-0.03407346167473735,0.55,7,13,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
74,0.28703703703703703,0.28365384615384615,-0.03274571317873187,-0.030136500620457474,0.56,7,13,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
75,0.2881054131054131,0.28365384615384615,-0.033054686807691525,-0.03130962064630638,0.56,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
76,0.28952991452991456,0.28205128205128205,-0.032867528631072895,-0.03631429884784754,0.57,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
77,0.2882834757834758,0.28365384615384615,-0.03720820024271454,-0.03670665893581915,0.58,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
78,0.28899572649572647,0.28525641025641024,-0.038398448266153684,-0.036421325468114496,0.58,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
79,0.2922008547008547,0.28525641025641024,-0.03565589034506833,-0.03863378515555027,0.59,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
80,0.2922008547008547,0.28205128205128205,-0.03787126390567375,-0.046901448537232104,0.6,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,97,106,112,117,123
81,0.2904202279202279,0.27403846153846156,-0.04283808586181581,-0.06068292682926835,0.6,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,96,106,112,117,123
82,0.28703703703703703,0.2676282051282051,-0.050736645298795846,-0.07164116285362132,0.61,7,14,20,27,32,37,43,48,55,61,70,73,82,89,90,96,106,112,117,123
83,0.28347578347578345,0.2708333333333333,-0.058473404377894056,-0.06871838111298478,0.62,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
84,0.28027065527065526,0.25961538461538464,-0.06630059624859252,-0.08840496541725806,0.63,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
85,0.27225783475783477,0.26282051282051283,-0.0812512607284992,-0.08549646033762937,0.63,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
86,0.265491452991453,0.25961538461538464,-0.09434143377151094,-0.09312625128920704,0.64,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
87,0.2589031339031339,0.2548076923076923,-0.10721607759884977,-0.10224734466882435,0.65,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
88,0.24786324786324787,0.25,-0.12722288340975996,-0.11233335872628913,0.65,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
89,0.24056267806267806,0.22275641025641027,-0.14103188035520264,-0.15739395144636004,0.66,7,14,20,27,32,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
90,0.23059116809116809,0.21634615384615385,-0.15981504698958116,-0.169103448275862,0.67,7,14,20,27,33,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
91,0.22293447293447294,0.20833333333333334,-0.17519702879455745,-0.184652278177458,0.67,7,14,20,27,33,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
92,0.21901709401709402,0.20993589743589744,-0.1843694127566864,-0.18526052984419072,0.68,7,14,20,27,33,37,43,48,55,61,70,73,83,89,90,96,106,112,117,123
93,0.2159900284900285,0.20673076923076922,-0.19117654709770515,-0.1926973928086002,0.69,7,14,20,27,33,37,43,48,55,61,70,73,83,89,90,96,106,113,117,123
94,0.2150997150997151,0.20993589743589744,-0.19443435223916206,-0.18848418352366658,0.69,7,14,20,27,33,37,43,48,55,61,70,73,83,89,90,96,106,113,117,123
95,0.213497150997151,0.21153846153846154,-0.19791692925261017,-0.18688047999752588,0.7,7,14,20,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
96,0.2118945868945869,0.20673076923076922,-0.20085650903482533,-0.19493059746529884,0.71,7,14,20,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
97,0.21242877492877493,0.20673076923076922,-0.19996776842112984,-0.19513403083018632,0.72,7,14,20,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
98,0.21403133903133903,0.20833333333333334,-0.1972276158883719,-0.1925165962582982,0.72,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
99,0.21474358974358973,0.20993589743589744,-0.1953482957477528,-0.18990005260389275,0.73,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
100,0.21705840455840456,0.20993589743589744,-0.19110771361149137,-0.18888837360293098,0.74,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
101,0.21866096866096865,0.20833333333333334,-0.18783203058911102,-0.19008570766736144,0.75,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
102,0.22044159544159544,0.21153846153846154,-0.18372655039912922,-0.18446272319017276,0.75,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
103,0.2232905982905983,0.21314102564102563,-0.17852213074484613,-0.1812531807596809,0.76,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
104,0.2256054131054131,0.21474358974358973,-0.17413539178285453,-0.17824773413897277,0.77,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
105,0.228988603988604,0.21314102564102563,-0.16808825586453557,-0.1800520729020627,0.77,7,14,21,27,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
106,0.23165954415954415,0.21314102564102563,-0.16341696530197303,-0.1798521256931609,0.78,7,14,21,28,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
107,0.2329059829059829,0.21474358974358973,-0.16124194095560251,-0.17724969583095884,0.79,7,14,21,28,33,37,43,48,56,61,70,73,83,90,96,106,113,117,123
108,0.23308404558404558,0.21474358974358973,-0.16097238618750698,-0.17724969583095884,0.79,7,14,21,28,33,38,43,48,56,61,70,73,83,90,96,106,113,117,123
109,0.2337962962962963,0.21634615384615385,-0.16003781914705706,-0.17504621072088722,0.8,7,14,21,28,33,38,43,48,56,61,70,73,83,90,96,106,113,117,123
110,0.23344017094017094,0.21634615384615385,-0.16072074985515505,-0.17524534348087317,0.81,7,14,21,28,33,38,43,48,56,61,70,73,83,90,96,106,113,117,123
111,0.234508547008547,0.21794871794871795,-0.15953389618862368,-0.1726432532347506,0.81,7,14,21,28,33,38,43,48,56,61,70,73,83,90,96,106,113,117,123
112,0.23557692307692307,0.21955128205128205,-0.15793947906313566,-0.1706369995993715,0.82,7,14,21,28,33,38,43,48,56,61,70,73,83,90,96,106,113,117,123
113,0.2362891737891738,0.21955128205128205,-0.15700393775789023,-0.17083545240186782,0.83,7,14,21,28,33,38,43,48,56,61,70,73,83,90,96,106,113,117,123
114,0.23664529914529914,0.22275641025641027,-0.15658386102887834,-0.16582945545317296,0.83,7,14,21,28,33,38,43,48,57,61,70,73,83,90,96,106,113,117,123
115,0.2362891737891738,0.22596153846153846,-0.15731469049706592,-0.16082515521730412,0.84,7,14,21,28,33,38,43,48,57,61,71,73,84,90,96,106,113,117,123
116,0.23806980056980057,0.22596153846153846,-0.15447324764179826,-0.16082515521730412,0.85,7,14,21,28,33,38,43,48,57,61,71,73,84,90,96,106,113,117,123
117,0.23985042735042736,0.22596153846153846,-0.15158493666997197,-0.16082515521730412,0.85,7,14,21,28,33,38,43,48,57,61,71,73,84,90,96,106,113,117,123
118,0.24145299145299146,0.22596153846153846,-0.1489672906702597,-0.16062846580406664,0.86,7,14,21,28,33,38,43,48,57,61,71,73,84,90,96,106,113,117,123
119,0.24483618233618235,0.22916666666666666,-0.1434649709955198,-0.15543099996920318,0.87,7,14,21,28,33,38,43,48,57,61,71,74,84,90,96,106,113,117,123
120,0.2459045584045584,0.23397435897435898,-0.14161156629689042,-0.14744714246145318,0.87,7,14,21,28,33,38,42,48,57,61,71,74,84,90,96,106,113,117,123
121,0.24715099715099714,0.23557692307692307,-0.13937185825721432,-0.14485283936181692,0.88,7,14,21,28,33,38,42,48,57,61,71,74,84,90,96,106,113,117,123
122,0.25,0.2419871794871795,-0.13456852749027082,-0.1344844021463385,0.89,7,14,21,28,33,38,42,48,57,61,71,74,84,90,96,106,113,117,123
123,0.25195868945868943,0.24358974358974358,-0.13137216425850773,-0.1315118173156713,0.89,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
124,0.25427350427350426,0.24358974358974358,-0.12749914238417004,-0.1317031185158999,0.9,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
125,0.25605413105413105,0.2467948717948718,-0.12452876342730668,-0.12690776631879874,0.91,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
126,0.25801282051282054,0.2467948717948718,-0.12145250410375641,-0.12709832134292576,0.91,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
127,0.26014957264957267,0.2467948717948718,-0.11806170592371723,-0.1272889408219431,0.92,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
128,0.2621082621082621,0.2516025641025641,-0.11510173510177735,-0.11990407673860903,0.93,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
129,0.2640669515669516,0.25961538461538464,-0.1119813911293972,-0.10772635753039372,0.93,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
130,0.26673789173789175,0.2548076923076923,-0.10794564932757278,-0.11548516069506398,0.94,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
131,0.26816239316239315,0.2564102564102564,-0.1059527343794171,-0.11327458127624235,0.95,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
132,0.270477207977208,0.2548076923076923,-0.10234102790899424,-0.11624042101375687,0.96,7,14,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
133,0.27403846153846156,0.2564102564102564,-0.0970050162501821,-0.11402847248941916,0.96,7,15,21,28,34,38,42,48,57,61,71,74,84,90,96,106,113,117,123
134,0.2758190883190883,0.25961538461538464,-0.09447213815715716,-0.10941444492334229,0.97,7,15,21,28,34,38,42,48,57,61,71,74,84,90,89,96,106,113,117,123
135,0.2795584045584046,0.2548076923076923,-0.08920234963578255,-0.11699670475193247,0.98,7,15,21,28,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
136,0.2799145299145299,0.2548076923076923,-0.08924768633647173,-0.11832267016110398,0.98,7,15,22,28,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
137,0.28187321937321935,0.2532051282051282,-0.08702463938027494,-0.12148840653491932,0.99,7,15,22,27,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
138,0.27902421652421655,0.25,-0.0931193216686812,-0.12840803709428128,1.0,7,15,22,27,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
139,0.27706552706552706,0.2564102564102564,-0.09856423699542605,-0.1206688341848583,1.0,7,15,22,27,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
140,0.2797364672364672,0.2644230769230769,-0.09648184128971837,-0.11086288746160289,1.01,7,15,22,27,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
141,0.2847222222222222,0.27403846153846156,-0.0902495483042598,-0.09784060897933822,1.02,7,15,22,27,34,38,42,48,58,61,71,74,84,90,89,96,106,113,117,123
142,0.2866809116809117,0.2724358974358974,-0.08825911307183354,-0.10139338143816867,1.03,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
143,0.28739316239316237,0.27564102564102566,-0.0879418753145802,-0.0972922502334268,1.03,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
144,0.29095441595441596,0.28365384615384615,-0.083248951671687,-0.08626974483596594,1.04,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
145,0.2948717948717949,0.28525641025641024,-0.07782540141185623,-0.08402536497203306,1.05,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
146,0.2968304843304843,0.2900641025641026,-0.07496585472536754,-0.07654921020656147,1.05,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
147,0.29985754985754987,0.2916666666666667,-0.07080693102723234,-0.07430316438932416,1.06,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
148,0.3011039886039886,0.2948717948717949,-0.06890061146538318,-0.06980876233225786,1.07,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,113,117,123
149,0.30288461538461536,0.2980769230769231,-0.06611060752570896,-0.06494599523074762,1.07,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,112,117,123
150,0.3059116809116809,0.30128205128205127,-0.06163621176422218,-0.060446842014998614,1.08,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,112,117,123
151,0.307514245014245,0.30128205128205127,-0.05894406898687743,-0.060446842014998614,1.09,7,15,22,27,34,38,42,48,58,61,71,75,84,90,89,96,106,112,117,123
152,0.30947293447293445,0.30128205128205127,-0.0555126263047272,-0.059645569620253136,1.09,7,15,22,27,34,38,42,48,59,61,71,75,84,90,89,96,106,112,117,123
153,0.31143162393162394,0.29967948717948717,-0.05173123191185214,-0.06171205195492879,1.1,7,15,22,27,34,38,42,48,59,61,71,75,84,90,89,96,106,112,117,123
154,0.31143162393162394,0.30128205128205127,-0.05024727662987272,-0.05790265696632235,1.11,7,15,22,27,34,38,42,48,59,61,71,75,84,90,89,96,106,112,117,123
155,0.3139245014245014,0.3092948717948718,-0.0440437615020719,-0.04415886943355196,1.11,7,15,22,27,34,38,42,48,59,61,71,75,84,90,89,96,106,112,117,123
156,0.31855413105413105,0.3108974358974359,-0.033289900645201875,-0.036873304531297224,1.12,7,15,22,27,34,38,42,48,59,61,71,75,84,90,88,96,106,112,117,123
157,0.31997863247863245,0.3157051282051282,-0.023222262869626586,-0.023119722609406868,1.13,7,15,22,27,34,38,42,48,59,61,71,75,84,90,88,96,106,112,117,123
158,0.32567663817663817,0.32051282051282054,-0.0053998460590520825,-0.011206066257968939,1.13,7,15,22,27,34,38,42,48,59,61,72,75,84,90,88,96,106,112,117,123
159,0.33066239316239315,0.32532051282051283,0.010449960386206048,0.0005972738443511538,1.14,7,15,22,27,34,38,42,48,59,61,72,75,84,90,88,96,106,112,117,123
160,0.3386752136752137,0.33653846153846156,0.029233544141018197,0.02428559558251442,1.15,7,15,22,27,34,38,42,48,59,61,72,75,84,90,88,96,106,112,117,123
161,0.3466880341880342,0.34134615384615385,0.046449454764355136,0.034379412263032094,1.15,7,15,22,27,34,38,42,48,59,61,72,75,84,90,88,96,106,112,117,123
162,0.35131766381766383,0.34294871794871795,0.0569534255273898,0.040424877540151116,1.16,7,15,22,26,34,38,42,48,59,61,72,75,84,90,88,96,106,112,117,123
163,0.3538105413105413,0.3541666666666667,0.06289048023240529,0.06010397939847445,1.17,7,15,23,26,35,38,42,48,59,61,72,75,84,90,88,96,106,112,117,123
164,0.3554131054131054,0.36217948717948717,0.0674032909921446,0.07414601049056635,1.17,7,15,23,26,35,38,42,48,59,61,72,76,84,90,88,96,106,112,117,123
165,0.35826210826210825,0.3605769230769231,0.0736826380849237,0.07386025473157953,1.18,7,15,23,26,35,38,42,48,59,61,72,76,84,90,88,96,106,112,117,123
166,0.35844017094017094,0.36378205128205127,0.07603201386405323,0.08019277752612075,1.19,7,15,23,26,35,38,42,48,59,61,72,76,84,90,88,96,106,112,117,123
167,0.3609330484330484,0.3685897435897436,0.08172165481070714,0.08964812435432679,1.19,7,15,23,26,35,38,43,48,59,61,72,76,84,90,88,96,106,112,117,123
168,0.36378205128205127,0.3717948717948718,0.08731672052443573,0.09606991740729098,1.2,7,15,23,26,35,38,43,48,60,61,72,76,84,90,88,96,106,112,117,123
