algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
sfs,21782,66,25.18,20,20,0.85,0.86,0.86,0.05,0.05,0.05,2;6;11;13;14;15;30;33;36;40;43;48;49;50;51;53;54;56;59;65
lasso,21782,66,0.02,2,2,0.85,0.25,0.23,0.05,0.12,0.12,65;16
lasso,21782,66,0.02,5,5,0.85,0.38,0.35,0.05,0.11,0.11,65;16;30;29;28
lasso,21782,66,0.02,10,10,0.85,0.42,0.39,0.05,0.1,0.11,65;16;30;29;28;27;26;25;24;23
lasso,21782,66,0.02,15,15,0.85,0.48,0.46,0.05,0.1,0.1,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18
lasso,21782,66,0.02,20,20,0.85,0.68,0.66,0.05,0.08,0.08,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18;17;15;64;14;13
fsdr,21782,66,31.0,2,2,0.85,0.6,0.55,0.05,0.09,0.09,6;34
fsdr,21782,66,42.46,5,5,0.85,0.81,0.8,0.05,0.06,0.06,6;17;32;36;54
fsdr,21782,66,61.01,10,9,0.85,0.84,0.83,0.05,0.05,0.06,6;12;17;28;31;33;47;54;59
fsdr,21782,66,77.65,15,13,0.85,0.83,0.82,0.05,0.06,0.06,7;11;17;18;26;31;33;34;38;47;54;57;59
fsdr,21782,66,91.22,20,13,0.85,0.82,0.82,0.05,0.06,0.06,6;10;12;17;18;27;30;31;33;36;47;54;59
