epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
124,0.36265,0.32073,0.19677,0.164,3.41,9,20,28,39,46,56,65,79,86,93,103,111,127,136,142,149,160,169,181,188
125,0.36265,0.32073,0.19691,0.164,3.44,9,20,28,39,46,56,65,79,86,93,103,110,127,136,142,149,160,169,181,188
126,0.36265,0.32073,0.19703,0.16415,3.46,9,20,28,39,46,56,65,79,86,93,103,110,127,136,142,149,160,169,181,188
127,0.36265,0.32073,0.19727,0.16415,3.49,9,20,28,39,46,56,65,79,86,93,103,110,127,136,142,149,160,169,181,188
128,0.36265,0.32073,0.19734,0.16415,3.52,9,20,28,39,46,56,65,79,86,93,103,110,127,136,142,149,160,169,181,188
129,0.36265,0.32073,0.19743,0.16429,3.54,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
130,0.36265,0.32073,0.1976,0.16457,3.57,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
131,0.36265,0.32073,0.19771,0.16457,3.59,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
132,0.36265,0.32073,0.19774,0.165,3.62,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
133,0.36265,0.32073,0.19782,0.165,3.64,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
134,0.36265,0.32073,0.19788,0.165,3.67,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
135,0.36252,0.32073,0.19774,0.165,3.7,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
136,0.36252,0.32073,0.19782,0.165,3.73,9,20,28,39,46,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
137,0.36252,0.32073,0.1979,0.165,3.75,9,20,28,39,45,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
138,0.36252,0.32073,0.19793,0.16514,3.78,9,20,28,39,45,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
139,0.36252,0.32073,0.19794,0.16514,3.81,9,20,28,39,45,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
140,0.36252,0.32073,0.19796,0.16514,3.83,9,20,28,39,45,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
141,0.36252,0.32073,0.19796,0.16514,3.86,9,20,28,39,45,56,65,79,86,93,103,110,126,136,142,149,160,169,181,188
