epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
96,0.14202,0.13537,-2e-05,0.0,1.53,19,35,55,73,92,108,125,142,164,181
97,0.14202,0.13537,-2e-05,0.0,1.54,19,35,55,73,92,108,125,142,164,182
98,0.14202,0.13537,-2e-05,0.0,1.56,19,35,55,73,92,108,125,142,164,182
99,0.14202,0.13537,-2e-05,0.0,1.57,19,35,55,73,92,108,125,142,164,182
100,0.14202,0.13537,-2e-05,0.0,1.59,19,35,55,73,92,108,125,142,164,182
101,0.14202,0.13537,-2e-05,0.0,1.6,19,35,55,73,92,108,125,142,164,182
102,0.14202,0.13537,-2e-05,0.0,1.62,19,35,55,73,92,108,125,142,164,182
103,0.14202,0.13537,-2e-05,0.0,1.64,19,35,55,73,92,108,125,142,164,182
104,0.14202,0.13537,-2e-05,0.0,1.65,19,35,55,73,92,108,125,142,164,182
105,0.14202,0.13537,-2e-05,0.0,1.67,19,35,55,73,92,108,125,142,164,182
106,0.14202,0.13537,-2e-05,0.0,1.68,19,34,55,73,92,108,125,142,164,182
107,0.14202,0.13537,-2e-05,0.0,1.7,19,34,55,73,92,108,125,142,164,182
108,0.14202,0.13537,-3e-05,0.0,1.71,19,34,55,73,92,108,125,142,164,182
109,0.14202,0.13537,-3e-05,0.0,1.73,19,34,55,73,92,108,125,142,164,182
110,0.14202,0.13537,-3e-05,0.0,1.74,19,34,55,73,92,108,125,142,164,182
111,0.14202,0.13537,-5e-05,0.0,1.76,19,34,55,73,92,108,125,142,164,182
112,0.14202,0.13537,-6e-05,0.0,1.77,19,34,55,73,92,108,125,142,164,182
113,0.14202,0.13537,-8e-05,0.0,1.79,19,34,55,73,92,108,125,142,164,182
114,0.14202,0.13537,-8e-05,0.0,1.8,19,34,55,73,92,108,125,142,164,182
115,0.14202,0.13537,-9e-05,0.0,1.82,19,34,55,73,92,108,125,142,164,182
116,0.14202,0.13537,-0.00024,-0.00012,1.83,19,34,55,73,92,108,125,142,164,182
117,0.14202,0.13537,-0.00109,-0.00046,1.85,19,34,55,73,92,108,125,142,164,182
118,0.14202,0.13537,-0.00257,-0.0015,1.86,20,34,55,73,92,108,125,142,164,182
119,0.14202,0.13537,-0.0048,-0.00324,1.88,20,34,55,73,92,108,125,142,164,182
120,0.14202,0.13537,-0.00868,-0.00533,1.89,20,34,55,73,92,108,125,142,164,182
121,0.14202,0.13537,-0.01357,-0.00907,1.91,20,34,55,73,92,108,125,142,164,182
122,0.14202,0.13537,-0.01943,-0.01485,1.92,20,34,55,73,92,108,125,142,164,182
123,0.14216,0.13415,-0.02473,-0.02094,1.94,20,34,55,73,92,108,125,142,164,182
124,0.14202,0.13415,-0.0298,-0.02552,1.96,20,34,55,73,92,108,125,142,164,182
125,0.14216,0.13171,-0.0325,-0.03048,1.97,20,34,55,73,92,108,125,142,164,182
126,0.14352,0.13049,-0.033,-0.03351,1.99,20,34,55,73,92,108,125,142,164,182
127,0.14514,0.13659,-0.03486,-0.03017,2.0,20,34,55,73,92,108,125,142,164,182
128,0.14663,0.13537,-0.03762,-0.03556,2.02,20,33,55,73,92,108,125,142,164,182
129,0.15341,0.14634,-0.03718,-0.03054,2.03,20,33,55,73,92,108,125,142,164,182
130,0.16168,0.15732,-0.03872,-0.02804,2.05,20,33,55,73,92,108,125,142,164,182
131,0.19054,0.1878,-0.02049,-0.00552,2.07,20,33,55,73,92,108,125,142,164,182
132,0.25505,0.25,0.03942,0.05386,2.08,20,33,55,73,92,108,125,142,164,182
133,0.25844,0.2378,0.03174,0.03141,2.1,20,33,55,73,92,108,125,142,164,182
134,0.23824,0.21707,0.00025,0.0,2.11,20,33,55,73,92,108,125,142,164,182
135,0.23797,0.21707,-0.00016,0.0,2.13,20,33,55,73,92,108,125,142,164,182
136,0.23811,0.21707,0.0,0.0,2.14,20,33,55,73,92,108,125,142,164,182
137,0.23811,0.21707,0.0,0.0,2.16,20,33,55,73,92,108,125,142,164,182
138,0.23811,0.21707,0.0,0.0,2.17,20,33,55,73,92,108,125,142,164,182
139,0.23811,0.21707,0.0,0.0,2.19,20,33,55,73,92,108,125,142,164,182
140,0.23811,0.21707,0.0,0.0,2.2,20,33,55,73,92,108,125,142,164,182
141,0.23811,0.21707,0.0,0.0,2.22,20,33,55,73,92,108,125,142,164,182
142,0.23811,0.21707,0.0,0.0,2.23,20,33,55,73,92,108,125,142,164,182
143,0.23811,0.21707,0.0,0.0,2.25,20,33,55,73,92,108,125,142,164,182
144,0.23811,0.21707,0.0,0.0,2.27,20,33,55,73,92,108,125,142,164,182
145,0.23811,0.21707,0.0,0.0,2.28,20,33,55,73,92,108,125,142,164,182
146,0.23811,0.21707,0.0,0.0,2.3,20,33,55,73,92,108,125,142,164,183
147,0.23811,0.21707,0.0,0.0,2.31,20,33,55,73,92,108,125,142,164,183
148,0.23811,0.21707,0.0,0.0,2.33,20,33,55,73,92,108,125,142,164,183
149,0.23811,0.21707,0.0,0.0,2.34,20,33,55,73,92,108,125,142,164,183
150,0.23811,0.21707,0.0,0.0,2.36,20,33,55,73,92,108,125,142,164,183
151,0.23811,0.21707,0.0,0.0,2.37,20,33,55,73,92,108,125,142,164,183
152,0.23811,0.21707,0.0,0.0,2.39,20,32,56,73,92,108,125,142,164,183
153,0.23811,0.21707,0.0,0.0,2.4,20,32,56,73,92,108,124,142,164,183
154,0.23811,0.21707,0.0,0.0,2.42,20,32,56,73,92,108,124,142,164,183
155,0.23811,0.21707,0.0,0.0,2.43,20,32,56,73,92,108,124,142,164,183
156,0.23811,0.21707,0.0,0.0,2.45,20,32,56,73,92,108,124,142,164,183
157,0.23811,0.21707,0.0,0.0,2.46,20,32,56,73,92,108,124,142,164,183
