epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
46,0.37688,0.37838,-0.0003,0.0,1.75,5,9,13,17,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,105,108,112,117,121,125
47,0.37688,0.37838,-0.0003,0.0,1.79,5,9,13,17,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
48,0.37688,0.37838,-0.0003,0.0,1.82,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
49,0.37688,0.37838,-0.0003,0.0,1.86,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
50,0.37708,0.37838,0.0,0.0,1.9,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
51,0.37708,0.37838,0.0,0.0,1.93,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
52,0.37708,0.37838,0.0,0.0,1.97,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
53,0.37708,0.37838,0.0,0.0,2.0,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
54,0.37708,0.37838,0.0,0.0,2.04,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,85,88,91,95,99,106,108,112,117,121,125
55,0.37708,0.37838,2e-05,0.0,2.08,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,86,88,91,95,99,106,108,112,117,121,125
56,0.37708,0.37838,2e-05,0.0,2.11,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,86,88,91,95,99,106,108,112,117,121,125
57,0.37708,0.37838,2e-05,0.0,2.15,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,86,88,91,95,99,106,108,112,117,121,125
58,0.37708,0.37838,2e-05,0.0,2.19,5,9,13,18,21,24,31,33,38,42,47,49,53,57,61,65,73,74,79,86,88,91,95,99,106,108,112,117,121,125
59,0.37688,0.37838,-0.00027,0.0,2.22,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,73,74,79,86,88,90,95,99,106,108,112,117,121,125
60,0.37668,0.37838,-0.00057,0.0,2.26,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,73,74,79,86,88,90,95,99,106,108,112,117,121,125
61,0.37668,0.37838,-0.00057,0.0,2.3,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,79,86,88,90,95,99,106,108,112,117,121,125
62,0.37648,0.37838,-0.00087,0.0,2.33,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,79,86,88,90,95,99,106,108,112,117,121,125
63,0.37648,0.37838,-0.00087,0.0,2.37,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,79,86,88,90,95,99,106,108,112,117,121,125
64,0.37648,0.37838,-0.00087,0.0,2.4,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,79,86,88,90,95,99,106,108,112,117,121,125
65,0.37628,0.37838,-0.00116,0.0,2.44,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,79,86,88,90,95,99,106,108,112,117,121,125
66,0.37628,0.37838,-0.00116,0.0,2.48,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,79,86,88,90,95,99,106,108,112,117,121,125
67,0.37608,0.37838,-0.00146,0.0,2.51,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,65,72,74,80,86,88,90,95,99,106,108,112,117,121,125
68,0.37608,0.37838,-0.00141,0.0,2.55,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
69,0.37528,0.37297,-0.00135,-0.00754,2.58,5,9,13,18,22,24,31,33,38,42,47,49,53,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
70,0.37267,0.37658,-0.00132,0.00351,2.62,5,9,13,18,22,24,31,33,38,42,47,49,54,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
71,0.37327,0.37838,0.00796,0.01427,2.66,5,9,13,18,22,24,31,33,38,42,47,49,54,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
72,0.37147,0.37658,0.01407,0.01897,2.69,5,9,13,18,22,24,31,33,38,42,47,49,54,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
73,0.36566,0.37117,0.01037,0.01467,2.73,5,9,13,18,22,24,31,33,38,42,47,49,54,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
74,0.36205,0.36577,0.00789,0.01063,2.77,5,9,13,18,22,24,31,33,38,42,47,49,54,57,61,64,72,74,80,86,88,90,94,99,106,108,112,117,121,125
75,0.35865,0.36036,0.00494,0.00419,2.8,5,9,13,18,22,24,31,33,38,42,47,49,54,57,61,64,72,74,80,86,87,90,94,99,106,108,112,117,121,125
76,0.35865,0.35676,0.0068,-0.0003,2.84,5,9,13,18,22,24,31,33,38,41,47,49,54,57,61,64,72,74,80,86,87,90,94,99,106,108,112,117,121,125
