epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
56,0.3897,0.37658,0.04381,0.01998,1.99,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,99,104,109,114,120,124
57,0.3893,0.37658,0.04262,0.01998,2.03,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,99,104,109,114,120,124
58,0.3889,0.37658,0.04166,0.01888,2.06,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,99,104,109,114,120,124
59,0.3881,0.37658,0.03984,0.01888,2.09,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,99,104,109,114,120,124
60,0.3883,0.37658,0.04004,0.01888,2.13,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,98,103,109,114,120,124
61,0.3885,0.37658,0.04058,0.01888,2.16,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,98,103,109,114,120,124
62,0.3883,0.37477,0.0406,0.01714,2.19,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,98,103,109,114,120,124
63,0.3885,0.37477,0.04108,0.01714,2.22,5,11,16,21,24,29,37,40,47,49,57,60,64,68,74,80,87,88,95,98,103,109,114,120,124
64,0.3905,0.37477,0.04523,0.01769,2.26,5,11,16,21,24,29,37,40,47,49,57,61,64,68,74,80,87,88,95,98,103,109,114,120,124
65,0.3909,0.37838,0.04669,0.02444,2.29,5,11,16,21,24,29,37,40,47,49,57,61,64,68,74,80,87,88,95,98,103,109,114,120,124
66,0.3901,0.38018,0.04649,0.02888,2.32,5,11,16,21,24,29,37,40,47,49,57,61,64,68,74,80,87,88,95,98,103,109,114,120,124
67,0.39171,0.37838,0.05026,0.0266,2.36,5,11,16,21,24,29,37,40,47,49,57,61,64,68,74,80,87,88,94,98,103,109,114,120,124
68,0.39291,0.38018,0.05367,0.02996,2.39,5,11,16,21,24,29,37,40,47,49,57,61,64,68,74,80,87,88,94,98,103,109,114,120,124
69,0.39431,0.38198,0.05771,0.03385,2.42,5,11,16,22,24,29,37,40,47,49,58,61,64,68,74,80,87,88,94,98,103,109,114,120,124
70,0.39611,0.38378,0.06231,0.0372,2.45,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
71,0.39792,0.38018,0.06694,0.0337,2.49,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
72,0.40212,0.38559,0.07617,0.04476,2.52,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
73,0.40433,0.38378,0.08163,0.04407,2.55,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
74,0.40713,0.38559,0.08882,0.04791,2.59,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
75,0.40834,0.38919,0.09212,0.05556,2.62,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
76,0.41114,0.3964,0.09822,0.06976,2.65,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
77,0.41535,0.4036,0.1069,0.08387,2.69,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
78,0.41755,0.3982,0.11228,0.07757,2.72,6,11,16,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
79,0.41815,0.40541,0.11495,0.09206,2.75,6,11,17,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
80,0.41976,0.41261,0.11968,0.105,2.79,6,11,17,22,24,29,37,39,47,49,58,61,64,67,74,80,87,88,94,98,103,109,113,120,124
81,0.41935,0.42342,0.1214,0.12572,2.82,6,11,17,22,24,29,37,39,47,49,58,61,64,67,74,80,88,88,94,98,103,109,113,120,124
82,0.42116,0.42523,0.12628,0.13032,2.85,6,11,17,22,24,29,38,39,47,49,58,61,64,67,74,80,88,88,94,98,103,109,113,120,124
83,0.42216,0.43063,0.1297,0.1408,2.88,6,11,17,22,24,29,38,39,47,49,58,61,64,67,74,80,88,88,94,98,103,109,113,120,124
84,0.42336,0.43423,0.13296,0.14714,2.92,6,11,17,22,24,29,38,39,47,49,58,61,64,67,74,80,88,88,94,98,103,109,113,120,124
85,0.42557,0.43243,0.13763,0.14488,2.95,6,11,17,22,24,29,38,39,47,49,58,61,64,67,74,80,88,88,94,98,103,109,113,120,124
86,0.42697,0.43423,0.14093,0.14941,2.98,6,11,17,22,24,29,38,39,47,49,59,61,64,67,74,80,88,88,94,98,103,110,113,120,124
87,0.42837,0.43604,0.14427,0.15347,3.01,6,11,17,22,24,29,38,39,47,49,59,61,64,66,74,80,88,88,94,98,103,110,113,120,124
88,0.42917,0.43784,0.14647,0.15886,3.04,6,11,17,22,24,29,38,39,47,49,59,61,64,66,74,80,88,88,94,98,103,110,113,120,124
89,0.43178,0.44144,0.15173,0.16513,3.08,6,11,17,22,24,29,38,39,47,49,59,61,64,66,74,80,88,88,94,98,103,110,113,120,124
90,0.43158,0.43784,0.15288,0.16064,3.11,6,11,17,22,24,29,38,38,47,49,59,61,64,66,74,80,88,88,93,97,103,110,113,120,124
91,0.43278,0.43784,0.15598,0.16152,3.14,6,11,17,22,24,29,38,38,47,49,59,61,64,66,74,80,88,88,93,97,103,110,113,120,124
92,0.43278,0.44144,0.15677,0.16778,3.17,6,11,17,22,24,29,38,38,47,49,59,61,64,66,74,80,88,88,93,97,103,110,113,120,124
93,0.43318,0.43964,0.15788,0.16641,3.2,6,11,17,22,24,29,38,38,47,49,59,61,64,66,74,80,88,88,93,97,103,110,113,120,124
94,0.43318,0.44685,0.15858,0.17929,3.24,6,11,17,22,24,29,38,38,47,49,59,61,64,66,74,80,88,88,93,97,103,110,113,120,124
95,0.43338,0.44685,0.1598,0.17929,3.27,6,11,17,22,24,29,38,38,47,49,59,61,63,66,74,80,88,88,93,97,103,110,113,120,124
96,0.43418,0.44685,0.16196,0.18015,3.3,6,11,17,22,24,29,38,38,47,49,59,61,63,66,74,80,88,88,93,97,103,110,113,120,124
97,0.43478,0.44685,0.16359,0.18015,3.33,6,11,17,22,24,29,38,38,47,49,59,61,63,66,74,80,88,88,93,97,103,110,113,120,124
98,0.43578,0.44505,0.16571,0.17877,3.36,6,11,17,22,24,29,38,38,47,49,59,61,63,66,74,80,88,88,93,97,103,110,113,120,124
99,0.43578,0.44324,0.16621,0.17654,3.4,6,11,17,22,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,120,124
100,0.43639,0.44324,0.1677,0.17654,3.43,6,11,17,22,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,120,124
101,0.43679,0.44324,0.16897,0.17697,3.46,6,11,17,23,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,121,124
102,0.43699,0.44324,0.16977,0.17783,3.49,6,11,17,23,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,121,124
103,0.43799,0.44324,0.17201,0.1804,3.52,6,11,17,23,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,121,124
104,0.43819,0.44324,0.17276,0.1804,3.55,6,11,17,23,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,121,124
105,0.43859,0.44144,0.17408,0.1786,3.58,6,11,17,23,24,29,38,38,47,49,59,61,63,66,74,80,88,87,93,97,103,110,113,121,124
106,0.43839,0.44144,0.17446,0.17946,3.62,6,11,17,23,24,29,38,38,47,49,59,62,63,65,74,80,88,87,93,97,103,110,113,121,124
107,0.43879,0.44144,0.1759,0.17988,3.65,6,11,17,23,24,29,38,38,47,49,60,62,63,65,74,80,88,87,93,97,103,110,113,121,124
108,0.43979,0.44144,0.17795,0.18158,3.68,6,11,17,23,24,29,38,38,47,49,60,62,63,65,74,80,88,87,93,97,103,110,113,121,124
109,0.44059,0.44144,0.17949,0.18158,3.72,6,11,17,23,24,29,38,38,47,49,60,62,63,65,74,80,88,87,93,97,103,110,112,121,124
110,0.44119,0.43964,0.18083,0.17979,3.75,6,11,17,23,24,29,38,38,47,49,60,62,63,65,74,80,88,87,93,97,103,110,112,121,124
111,0.4418,0.43964,0.18195,0.17979,3.78,6,11,17,23,24,29,38,38,47,49,60,62,63,65,74,80,88,87,93,97,103,110,112,121,124
112,0.4418,0.43964,0.18231,0.17979,3.81,6,11,17,23,24,29,38,38,47,49,60,62,63,65,74,80,88,87,93,97,103,110,112,121,124
113,0.442,0.44144,0.18298,0.1826,3.84,6,11,17,23,24,29,38,38,47,49,60,62,63,65,75,80,88,87,93,97,103,110,112,121,124
114,0.4432,0.44324,0.18501,0.18566,3.88,6,12,17,23,24,29,38,38,47,49,60,62,62,65,75,80,88,87,93,97,103,110,112,121,124
115,0.4442,0.44505,0.18668,0.18872,3.91,6,12,17,23,24,29,38,38,47,49,60,62,62,65,75,80,88,87,92,96,103,110,112,121,124
116,0.4448,0.44685,0.18786,0.19152,3.94,6,12,17,23,24,29,38,38,47,49,60,62,62,65,75,80,88,87,92,96,103,110,112,121,124
117,0.446,0.44685,0.18978,0.19194,3.97,6,12,17,23,24,29,38,38,47,49,60,62,62,65,75,80,88,87,92,96,103,110,112,121,124
118,0.44761,0.44685,0.19221,0.19194,4.0,6,12,17,23,24,29,38,38,47,49,60,62,62,65,75,81,88,87,92,96,103,110,112,121,124
119,0.44841,0.44685,0.19354,0.19194,4.03,6,12,17,23,24,29,38,38,47,48,60,62,62,65,75,81,88,87,92,96,103,110,112,121,124
120,0.45021,0.45045,0.19631,0.19754,4.06,6,12,17,23,24,29,38,38,47,48,60,62,62,65,75,81,88,87,92,96,103,110,112,121,124
121,0.45181,0.45045,0.19882,0.19754,4.09,6,12,17,23,24,29,38,38,47,48,60,62,62,65,75,81,88,87,92,96,103,110,112,121,124
122,0.45402,0.45045,0.20218,0.1977,4.13,6,12,18,23,24,29,38,38,47,48,60,62,62,65,75,81,88,87,92,96,103,110,112,121,124
123,0.45562,0.45405,0.20468,0.20354,4.16,6,12,18,23,24,29,38,38,47,48,60,63,62,65,75,81,88,87,92,96,103,110,112,121,124
124,0.45642,0.45405,0.20593,0.20354,4.19,6,12,18,23,24,29,38,38,47,48,60,63,62,65,75,81,88,87,92,96,103,110,112,121,124
125,0.45863,0.45766,0.20941,0.20954,4.22,6,12,18,23,24,29,38,38,47,48,60,63,62,65,75,81,88,87,92,96,103,110,112,121,124
126,0.46003,0.45766,0.21164,0.20954,4.25,6,12,18,23,24,29,38,38,47,48,61,63,62,64,75,81,88,87,92,96,103,110,112,121,124
127,0.46263,0.46126,0.2157,0.21528,4.28,6,12,18,23,24,29,38,38,47,48,61,63,63,64,75,81,88,87,92,96,103,110,112,121,124
128,0.46383,0.46306,0.21776,0.21807,4.31,6,12,18,23,24,29,38,38,47,48,61,63,63,64,75,81,88,87,92,96,103,110,112,121,124
129,0.46544,0.46847,0.22052,0.22642,4.34,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,81,88,87,92,96,103,110,112,121,124
130,0.46604,0.46667,0.22155,0.2242,4.38,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,81,88,87,92,96,103,110,112,121,124
131,0.46764,0.47027,0.22421,0.22976,4.41,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,81,88,87,92,96,103,110,112,121,124
