epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
46,0,0,0.15360876756985878,0.15480579876362488,0.28,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
47,0,0,0.15340795866752321,0.1546012917555329,0.28,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
48,0,0,0.1532323426977056,0.15442240714915864,0.29,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
49,0,0,0.15307687153876873,0.15426352297389076,0.29,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
50,0,0,0.15293622959023992,0.1541193230261001,0.3,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
51,0,0,0.15280512490642165,0.1539845565125176,0.3,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
52,0,0,0.15267907431765845,0.15385504127241798,0.31,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
53,0,0,0.1525539879328893,0.1537267012795428,0.32,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
54,0,0,0.15242625105582033,0.15359643503056106,0.32,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
55,0,0,0.1522937472519213,0.15346147635422147,0.33,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
56,0,0,0.15215533783216756,0.15332206797961534,0.33,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,40,42,44,46,48,51,52,54,57,59,61,63
57,0,0,0.1520106635705879,0.15317873887619382,0.34,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,39,42,44,46,48,51,52,54,57,59,61,63
58,0,0,0.1518608779189158,0.1530302852014404,0.34,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,39,42,44,46,48,51,52,54,57,59,61,63
59,0,0,0.15170675152675414,0.15287773375238578,0.35,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,39,42,44,46,48,51,52,54,57,59,61,63
60,0,0,0.15154883037941413,0.15272121860592344,0.36,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,39,42,44,46,48,51,52,54,57,59,61,63
61,0,0,0.15138717027246681,0.15256014762441633,0.36,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,39,42,44,46,48,51,52,54,57,59,61,63
62,0,0,0.15122259063084695,0.15239595472413983,0.37,2,4,7,9,11,13,15,17,19,21,23,26,27,29,32,34,36,38,39,42,44,46,48,51,52,54,57,59,61,63
63,0,0,0.15105565529753232,0.15222968208184318,0.37,2,4,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
64,0,0,0.15088702923781314,0.15206197208684497,0.38,2,4,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
65,0,0,0.15071789319623163,0.1518939297656697,0.38,2,4,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
66,0,0,0.1505488826318924,0.1517260389315532,0.39,2,4,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
67,0,0,0.1503801775684677,0.15155839840756366,0.39,2,4,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
68,0,0,0.15021211383835337,0.15139129200635962,0.4,2,4,7,9,11,13,15,17,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
69,0,0,0.15004473083840658,0.1512245429010021,0.41,2,4,7,9,11,13,15,17,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
70,0,0,0.1498777450110501,0.15105813994406936,0.41,2,4,7,9,11,13,15,18,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
71,0,0,0.14971074711218635,0.1508915658226044,0.42,2,4,7,9,11,13,15,18,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
72,0,0,0.14954317660188116,0.15072411556607643,0.42,2,4,7,9,11,13,15,18,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
73,0,0,0.14937442677679166,0.15055495733866706,0.43,2,4,7,9,11,13,15,18,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
74,0,0,0.14920380702268837,0.15038336079876183,0.43,2,4,7,9,11,13,15,18,19,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
75,0,0,0.14903100470732494,0.1502093485907248,0.44,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
76,0,0,0.14885563683723696,0.15003227294004237,0.44,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
77,0,0,0.14867745003643565,0.14985199868785232,0.45,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
78,0,0,0.14849634008200266,0.14966878806886424,0.46,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
79,0,0,0.14831259767944682,0.1494824246861181,0.46,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
80,0,0,0.14812621303254808,0.1492934394572889,0.47,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
81,0,0,0.14793745315149723,0.14910192235234135,0.47,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
82,0,0,0.1477467627856498,0.1489083639497199,0.48,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
83,0,0,0.14755441216654036,0.14871341384617495,0.48,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
84,0,0,0.14736056543354153,0.1485167028537509,0.49,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
85,0,0,0.14716560270740098,0.14831883304913993,0.49,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
86,0,0,0.14696976668346662,0.14811940366699833,0.5,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
87,0,0,0.14677293330486837,0.14791881765113496,0.51,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
88,0,0,0.14657478721249584,0.14771700724200548,0.51,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
89,0,0,0.14637497313382744,0.14751373381645394,0.52,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
90,0,0,0.14617301274789096,0.14730980056228302,0.52,2,4,7,9,11,14,15,18,20,22,23,26,27,29,31,34,36,38,39,42,44,46,48,50,52,54,57,59,61,63
