epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
20,0.027228495252036744,0.02294103412379256,0.13496077961229289,0.12324214004298051,0.12,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
21,0.04015504737128872,0.03969641341952668,0.13406107739491813,0.12218084671487256,0.13,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
22,0.051422556310988576,0.05442602056285262,0.13327189541239906,0.12124018889974417,0.14,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
23,0.06103616047495031,0.06714677749510645,0.1325948277811071,0.12042190698613581,0.14,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
24,0.06901906979671335,0.07787875163098235,0.13202998397716753,0.11972720331141874,0.15,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,48,51,52,55,57,59,61,63
25,0.07542200024844636,0.08669031644893166,0.13157517110509762,0.11915379592135149,0.15,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
26,0.08033926392432855,0.09367358816475768,0.13122481944725273,0.11869738944275375,0.16,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
27,0.08388945779527113,0.09894858302312404,0.1309712913537861,0.11835146065491728,0.17,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
28,0.08620637177704604,0.10267123435960279,0.130805566742045,0.11810672961205947,0.18,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
29,0.08742382122443482,0.10501224254177777,0.13071840436362164,0.11795256737372453,0.18,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
30,0.08768591328983066,0.10613733635575906,0.13069962956872938,0.11787840307750078,0.19,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
31,0.08712556602059696,0.10617886876745941,0.13073976231249884,0.1178756615007312,0.19,2,4,6,9,11,13,15,17,19,21,24,26,28,29,32,34,36,38,40,42,44,46,49,51,52,55,57,59,61,63
